id;CLM_FREQ; CLM_AMT_1 ; CLM_AMT_2 ; CLM_AMT_3 ; CLM_AMT_4 ; CLM_AMT_5 ; CLM_AMT_6 ; CLM_AMT_7 ; CLM_AMT_8 ; CLM_AMT_9 ; CLM_AMT_10 ; CLM_AMT_11 ;CAR_USE;CAR_TYPE;AGE;GENDER;AREA;PREMIUM;FEES
14;2;138;182; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;53;F;Urban;410;21
15;6;117;153;112;99;111;167; -   ; -   ; -   ; -   ; -   ;Private;Sedan;43;F;Rural;601;30
16;5;92;148;313;350;511; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;55;M;Urban;550;28
17;3;260;194;220; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;53;M;Urban;491;25
18;2;133;69; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;35;M;Rural;490;25
19;1;83; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;383;19
20;4;119;394;101;120; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Rural;608;30
21;2;97;220; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;59;M;Urban;418;21
22;2;207;203; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;42;M;Urban;337;17
23;4;193;53;84;166; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;34;F;Urban;377;19
24;1;137; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;31;F;Urban;682;34
25;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;28;F;Urban;604;30
26;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban;519;26
27;2;123;138; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;48;F;Urban;377;19
28;2;112;132; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;F;Urban;371;19
29;4;103;87;196;346; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;44;F;Urban;458;23
30;1;-30; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;60;M;Urban;450;23
31;4;98;157;210;64; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;60;F;Urban;371;19
32;6;70;252;139;141;150;157; -   ; -   ; -   ; -   ; -   ;Private;SUV;33;F;Rural;568;28
33;1;356; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban;462;23
34;2;206;170; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban;372;19
35;4;251;123;100;112; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban;511;26
36;3;85;203;118; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;40;F;Rural;312;16
37;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;54;M;Urban;437;22
38;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;49;M;Urban;478;24
39;2;66;107; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;36;F;Rural;388;19
40;3;84;227;377; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;52;F;Urban;352;18
41;2;143;234; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;41;M;Urban;561;28
42;4;313;63;317;64; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;39;M;Urban;453;23
43;2;182;240; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;56;F;Rural;629;31
44;4;214;136;525;308; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;49;F;Urban;512;26
45;3;319;294;170; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Rural;608;30
46;1;215; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;43;F;Urban;639;32
47;2;159;163; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;50;F;Urban;539;27
48;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;63;F;Urban;491;25
49;4;92;316;82;122; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;52;F;Rural;464;23
50;3;256;171;142; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;35;M;Urban;507;25
51;3;143;293;175; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;43;F;Urban;442;22
52;3;109;96;103; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Rural;510;26
53;5;133;108;136;163;50; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;40;M;Urban;684;34
54;2;204;149; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;31;M;Urban;448;22
55;5;126;110;129;104;194; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;47;F;Urban;679;34
56;3;267;320;102; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;53;M;Urban;441;22
57;3;149;79;81; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Rural;551;28
58;1;60; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;33;M;Urban;567;28
59;4;104;145;312;287; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;59;M;Urban;563;28
60;5;90;98;53;196;205; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;42;M;Rural;541;27
61;2;118;173; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;40;M;Urban;409;20
62;2;108;94; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Urban;498;25
63;3;171;157;313; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;37;F;Urban;660;33
64;5;336;163;374;110;139; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;36;M;Urban;604;30
65;1;68; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;44;F;Urban;604;30
66;5;117;429;135;111;229; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;56;M;Urban;320;16
67;1;405; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;45;F;Urban;643;32
68;2;164;87; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;34;M;Rural;648;32
69;1;133; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;48;M;Urban;514;26
70;2;88;155; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban;363;18
71;6;133;304;106;192;79;98; -   ; -   ; -   ; -   ; -   ;Private;SUV;33;F;Urban;309;15
72;2;319;125; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban;440;22
73;2;167;216; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;34;F;Urban;576;29
74;2;267;170; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;38;F;Urban;305;15
75;4;116;490;168;244; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban;601;30
76;2;88;131; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;44;F;Urban;437;22
77;4;247;111;153;150; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;43;F;Urban;304;15
78;3;66;392;118; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;49;M;Urban;510;26
79;2;128;97; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;46;F;Urban;340;17
80;1;170; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;390;20
81;4;292;132;212;198; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban;650;33
82;3;68;103;88; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;45;M;Urban;475;24
83;6;261;70;309;96;206;125; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;48;M;Urban;311;16
84;2;157;169; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;63;F;Urban;560;28
85;2;95;216; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;F;Urban;550;28
86;3;108;153;628; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;M;Urban;674;34
87;1;180; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;62;F;Urban;433;22
88;3;427;88;73; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;48;F;Urban;699;35
89;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;37;F;Urban;569;28
90;5;186;166;135;75;227; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;35;F;Urban;580;29
91;1;34; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;48;M;Urban;439;22
92;1;143; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Urban;616;31
93;1;48; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban;408;20
94;1;54; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;44;F;Rural;446;22
95;1;67; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;F;Rural;314;16
96;3;113;155;87; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;30;F;Rural;500;25
97;1;185; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;54;M;Urban;669;33
98;1;124; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;38;M;Rural;444;22
99;2;130;255; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;53;F;Urban;432;22
100;2;100 000;2; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Panel Truck;32;M;Urban;430;22
101;2;80;317; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;29;M;Urban;393;20
102;3;40;220;72; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;58;M;Urban;451;23
103;3;70;159;232; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;55;F;Urban;407;20
104;1;204; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;55;M;Urban;358;18
105;3;223;161;97; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;56;F;Rural;596;30
106;6;107;195;145;174;231;187; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;39;F;Urban;526;26
107;2;65;157; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban;652;33
108;7;131;67;137;486;100;236;115; -   ; -   ; -   ; -   ;Private;Van;34;M;Urban;672;34
109;3;172;145;122; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;34;F;Urban;595;30
110;4;90;125;208;146; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;36;M;Urban;570;29
111;2;287;133; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;M;Urban;657;33
112;2;157;107; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban;532;27
113;2;352;240; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;503;25
114;1;214; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;42;M;Urban;675;34
115;3;517;86;183; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;38;M;Rural;570;29
116;1;192; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;33;M;Urban;444;22
117;2;59;139; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;37;F;Urban;491;25
118;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;42;F;Urban;618;31
119;2;214;84; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;47;F;Urban;336;17
120;1;177; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;486;24
121;3;226;107;147; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;52;F;Rural;603;30
122;2;146;190; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban;464;23
123;2;85;234; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;64;M;Urban;314;16
124;1;90; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;66;M;Urban;525;26
125;1;86; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;60;M;Urban;327;16
126;2;142;165; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban;644;32
127;3;77;77;67; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;52;M;Urban;421;21
128;3;129;108;154; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;52;F;Urban;491;25
129;5;87;124;33;168;168; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;56;M;Urban;558;28
130;5;384;103;134;279;122; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;38;F;Rural;424;21
131;3;318;161;119; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;55;F;Urban;412;21
132;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;47;M;Urban;587;29
133;2;170;212; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;37;M;Urban;647;32
134;2;81;102; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;47;M;Urban;602;30
135;2;99;78; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;26;M;Urban;314;16
136;2;114;266; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;61;F;Urban;541;27
137;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;41;F;Urban;666;33
138;1;215; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;40;F;Rural;611;31
139;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;52;M;Urban;591;30
140;5;562;139;78;180;172; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;58;F;Urban;408;20
141;4;110;131;152;60; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;52;M;Urban;509;25
142;1;118; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Urban;419;21
143;3;69;249;183; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;41;M;Urban;659;33
144;1;241; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;436;22
145;3;45;102;177; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;48;M;Urban;475;24
146;3;293;133;124; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban;589;29
147;4;166;73;136;110; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;41;M;Urban;654;33
148;1;107; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban;409;20
149;2;171;105; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;M;Rural;331;17
150;1;164; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;47;M;Urban;366;18
151;3;91;125;37; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;30;F;Rural;339;17
152;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;F;Rural;566;28
153;3;83;159;85; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;46;F;Urban;645;32
154;2;146;250; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban;464;23
155;1;125; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;33;F;Urban;477;24
156;4;253;43;231;183; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;34;F;Urban;581;29
157;3;138;273;193; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;F;Urban;408;20
158;3;228;127;168; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;311;16
159;2;260;217; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;62;F;Urban;629;31
160;1;96; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;42;M;Urban;497;25
161;1;103; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Rural;576;29
162;5;191;111;186;251;39; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban;643;32
163;7;75;93;182;259;175;310;720; -   ; -   ; -   ; -   ;Commercial;Van;50;M;Urban;369;18
164;1;151; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;51;M;Urban;482;24
165;3;199;146;152; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;46;F;Rural;614;31
166;2;209;87; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;F;Urban;553;28
167;1;112; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;655;33
168;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;39;F;Urban;304;15
169;2;170;76; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;43;F;Urban;434;22
170;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;60;F;Urban;462;23
171;3;113;154;189; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;55;M;Rural;622;31
172;1;182; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;40;F;Urban;540;27
173;1;135; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;39;F;Urban;687;34
174;4;205;95;75;108; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;49;M;Urban;308;15
175;1;208; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;38;M;Urban;586;29
176;3;121;928;174; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;42;M;Urban;446;22
177;2;438;260; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;42;F;Urban;419;21
178;3;74;203;165; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;49;F;Urban;303;15
179;7;136;214;168;543;85;84;217; -   ; -   ; -   ; -   ;Private;SUV;36;F;Urban;541;27
180;3;136;382;128; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;34;M;Urban;561;28
181;2;146;202; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban;336;17
182;2;490;69; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;52;M;Urban;306;15
183;1;90; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;50;M;Urban;465;23
184;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;53;F;Urban;412;21
185;3;141;97;175; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Rural;697;35
186;2;57;84; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;40;F;Urban;448;22
187;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;40;F;Urban;477;24
188;3;113;100;204; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;648;32
189;6;212;206;421;151;160;168; -   ; -   ; -   ; -   ; -   ;Private;Sedan;80;M;Urban;562;28
190;2;379;164; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;48;M;Urban;337;17
191;3;221;72;129; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;37;M;Rural;673;34
192;3;142;91;213; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;40;F;Rural;384;19
193;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;26;M;Urban;688;34
194;1;76; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;F;Urban;395;20
195;1;166; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;46;F;Urban;468;23
196;2;150;235; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;42;F;Urban;345;17
197;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;36;F;Urban;600;30
198;1;60; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;45;F;Rural;649;32
199;3;215;96;158; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;52;F;Rural;327;16
200;2;124;101; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;41;M;Rural;631;32
201;4;237;111;191;82; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;36;F;Urban;602;30
202;1;130; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;56;F;Urban;676;34
203;3;137;162;212; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;53;F;Rural;648;32
204;2;148;173; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Urban;491;25
205;2;184;121; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Rural;378;19
206;1;109; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;M;Urban;436;22
207;2;131;318; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;46;F;Rural;691;35
208;1;140; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;43;M;Urban;629;31
209;1;193; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban;342;17
210;8;130;386;131;197;498;194;45;537; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban;371;19
211;4;143;210;91;66; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;61;F;Rural;633;32
212;1;264; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;50;M;Rural;566;28
213;2;44;185; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;62;F;Urban;510;26
214;3;63;271;117; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;53;F;Urban;309;15
